Cortez ,CO,"8,609"
Frederick,CO,"8,127"
Firestone,CO,"8,117"
Lamar ,CO,"7,953"
Fort Lupton ,CO,"7,620"
Fruita ,CO,"7,418"
La Junta ,CO,"7,046"
Avon,CO,"6,578"
Woodland Park ,CO,"6,501"
Estes Park,CO,"6,432"
Cherry Hills Village ,CO,"6,355"
Carbondale,CO,"6,266"
Milliken,CO,"6,159"
Gypsum,CO,"6,052"
Aspen ,CO,"5,902"
Eagle,CO,"5,897"
Gunnison ,CO,"5,461"
Berthoud,CO,"5,429"
Sheridan ,CO,"5,412"
Salida ,CO,"5,396"
Brush ,CO,"5,332"
Manitou Springs ,CO,"5,161"
Edgewater ,CO,"5,136"
Wellington,CO,"5,052"
Lochbuie,CO,"4,800"
Glendale ,CO,"4,798"
Vail,CO,"4,768"
Bridgeport ,CT,"136,405"
Hartford ,CT,"124,062"
New Haven ,CT,"123,669"
Stamford ,CT,"119,303"
Waterbury ,CT,"107,037"
Norwalk ,CT,"83,185"
Danbury ,CT,"79,256"
New Britain ,CT,"70,486"
Bristol ,CT,"60,927"
Meriden ,CT,"59,186"
Milford ,CT,"54,136"
West Haven ,CT,"52,420"
Middletown ,CT,"48,030"
Shelton ,CT,"39,991"
Norwich ,CT,"36,388"
Torrington ,CT,"35,312"
Naugatuck,CT,"31,931"
New London ,CT,"25,891"
Ansonia ,CT,"18,503"
Derby ,CT,"12,393"
Groton ,CT,"9,316"
Danielson,CT,"4,310"
Washington ,DC,"591,833"
Wilmington ,DE,"72,592"
Dover ,DE,"36,107"
Newark ,DE,"29,886"
Middletown,DE,"12,152"
Smyrna,DE,"8,603"
Milford ,DE,"8,511"
Seaford ,DE,"7,260"
Elsmere,DE,"5,688"
Georgetown,DE,"5,233"
New Castle ,DE,"4,977"
Jacksonville ,FL,"807,815"
Miami ,FL,"413,201"
Tampa ,FL,"340,882"
St. Petersburg ,FL,"245,314"
Orlando ,FL,"230,519"
Hialeah ,FL,"210,542"
Fort Lauderdale ,FL,"183,126"
Tallahassee ,FL,"171,922"
Cape Coral ,FL,"156,835"
